Lat,Long,State
-42.65,138.44,None
-37.24,125.4,None
-32.67,127.16,None
-41.03,113.45,None
-10.11,125.35,None
-19.7,137.99,Queensland
-30.18,134.67,South Australia
-19.25,129.32,South Australia
-16.66,135.65,South Australia
-42.52,136.83,South Australia
-26.19,115.14,South Australia
-29.63,148.56,New South Wales
-24.08,122.0,Western Australia
-33.6,133.62,None
-39.81,126.33,None
-18.61,133.89,Northern Territory
-36.82,149.85,New South Wales
-22.09,142.0,Queensland
-23.96,124.98,Western Australia
-11.0,123.18,None
-20.22,131.63,Northern Territory
-42.95,115.86,None
-14.5,133.22,Northern Territory
-26.76,122.11,Western Australia
-32.9,133.31,None
-31.75,126.93,Western Australia
-21.38,148.07,Queensland
-33.76,122.98,Western Australia
-18.87,128.55,Western Australia
-28.6,144.1,Queensland
-23.22,151.61,None
-35.01,129.7,None
-21.4,130.94,Northern Territory
-31.64,115.26,None
-20.52,121.18,Western Australia
-18.81,152.04,None
-36.12,116.9,None
-28.62,147.78,Queensland
-40.32,150.0,None
-40.97,133.54,None
-18.99,136.23,Northern Territory
-22.85,136.22,Northern Territory
-33.79,135.54,South Australia
-32.38,121.23,Western Australia
-30.02,117.54,Western Australia
-24.39,124.82,Western Australia
-24.67,134.86,Northern Territory
-30.79,135.58,South Australia
-23.2,140.45,Queensland
-22.77,126.02,Western Australia
-25.48,129.12,Northern Territory
-27.56,120.31,Western Australia
-16.63,144.41,Queensland
-11.71,153.65,None
-33.07,115.38,None
-17.76,130.73,Northern Territory
-41.5,120.87,None
-31.89,143.36,New South Wales
-36.47,138.41,None
-15.01,117.71,None
-34.38,140.17,South Australia
-19.27,133.63,Northern Territory
-23.88,113.8,Western Australia
-22.99,128.39,Western Australia
-23.33,140.05,Queensland
-23.72,131.06,Northern Territory
-22.67,120.41,Western Australia
-13.52,123.22,None
-23.71,128.26,Western Australia
-26.69,135.4,South Australia
-36.14,151.93,None
-22.77,130.06,Northern Territory
-36.39,145.73,Victoria
-11.1,113.75,None
-38.01,131.06,None
-22.7,113.38,None
-30.85,116.0,Western Australia
-18.66,145.5,Queensland
-37.18,138.65,None
-41.54,120.07,None
-17.03,152.18,None
-15.61,137.2,None
-37.3,114.89,None
-17.07,121.04,None
-25.51,153.63,None
-40.65,141.25,None
-17.8,151.7,None
-36.54,134.14,None
-38.7,152.57,None
-28.86,122.15,Western Australia
-42.92,130.54,None
-32.56,142.68,New South Wales
-14.14,121.94,None
-37.46,151.16,None
-33.34,130.24,None
-29.74,137.24,South Australia
-10.05,144.0,None
-30.49,121.09,Western Australia
-40.29,144.11,None
-42.77,142.86,None
-37.52,131.0,None
