gps_lat,gps_long,lat,long,city,state,area,country,state_flag
31.78,-94.33,31.903779999999998,-94.3952,Timpson,Texas,Shelby County,US,Texas
38.77,-88.01,38.73088,-88.08532,Olney,Illinois,Richland County,US,Illinois
28.85,-81.03,28.739720000000002,-81.11506,Geneva,Florida,Seminole County,US,Florida
25.86,-96.76,26.10369,-97.16469000000001,South Padre Island,Texas,Cameron County,US,Texas
37.23,-97.89,37.28669,-98.02589,Harper,Kansas,Harper County,US,Kansas
24.22,-81.67,24.56709,-81.73841999999999,Stock Island,Florida,Monroe County,US,Florida
33.35,-121.73,34.63915,-120.45794,Lompoc,California,Santa Barbara County,US,California
41.33,-107.77,41.79107,-107.23866000000001,Rawlins,Wyoming,Carbon County,US,Wyoming
42.2,-94.52,42.26748,-94.73387,Lake City,Iowa,Calhoun County,US,Iowa
33.48,-98.6,33.595659999999995,-98.62561,Archer City,Texas,Archer County,US,Texas
25.07,-122.27,27.14231,-114.29581999999999,Bahia Asuncion,Baja California Sur,Mulege,MX,None
37.49,-105.01,37.624179999999996,-104.78026,Walsenburg,Colorado,Huerfano County,US,Colorado
34.41,-114.48,34.4839,-114.32245,Lake Havasu City,Arizona,Mohave County,US,Arizona
35.17,-120.24,35.04275,-120.476,Nipomo,California,San Luis Obispo County,US,California
46.82,-94.53,47.10135,-94.58722,Walker,Minnesota,Cass County,US,Minnesota
48.19,-97.63,48.3986,-97.7412,Park River,North Dakota,Walsh County,US,North Dakota
32.71,-79.34,33.03767,-79.61313,Awendaw,South Carolina,Charleston County,US,South Carolina
35.51,-93.72,35.43731,-93.67296999999999,Coal Hill,Arkansas,Johnson County,US,Arkansas
45.93,-71.68,46.21856,-71.76201,Plessisville,Quebec,Mauricie,CA,None
46.65,-77.12,46.100120000000004,-77.49949000000001,Deep River,Ontario,,CA,None
36.51,-116.56,36.908559999999994,-116.75923,Beatty,Nevada,Nye County,US,Nevada
25.04,-115.03,27.14231,-114.29581999999999,Bahia Asuncion,Baja California Sur,Mulege,MX,None
45.39,-73.09,45.43338,-73.04914000000001,Rougemont,Quebec,Monteregie,CA,None
35.3,-122.5,36.555240000000005,-121.92329,Carmel-by-the-Sea,California,Monterey County,US,California
49.56,-75.3,49.78344,-74.84919000000001,Chapais,Quebec,Nord-du-Quebec,CA,None
28.63,-112.1,28.822779999999998,-111.94083,Bahia de Kino,Sonora,Hermosillo,MX,None
45.98,-87.98,45.80635,-87.98846,Quinnesec,Michigan,Dickinson County,US,Michigan
48.28,-111.51,48.50526,-111.85696999999999,Shelby,Montana,Toole County,US,Montana
37.69,-94.88,37.51116,-94.83802,Girard,Kansas,Crawford County,US,Kansas
28.24,-81.15,28.2489,-81.28118,Saint Cloud,Florida,Osceola County,US,Florida
39.72,-98.32,39.78723,-98.21005,Mankato,Kansas,Jewell County,US,Kansas
26.49,-111.44,26.01217,-111.34888000000001,Loreto,Baja California Sur,Loreto,MX,None
41.01,-103.96,41.18193,-104.06912,Pine Bluffs,Wyoming,Laramie County,US,Wyoming
28.89,-73.36,26.541240000000002,-77.0636,Marsh Harbour,Central Abaco,,BS,None
41.67,-69.15,41.68206,-69.95974,Chatham,Massachusetts,Barnstable County,US,Massachusetts
42.54,-68.88,41.99344,-70.04975,Truro,Massachusetts,Barnstable County,US,Massachusetts
35.82,-66.38,32.38167,-64.67806,Saint George,Saint George,,BM,None
38.73,-121.52,38.71379,-121.46273000000001,Elverta,California,Sacramento County,US,California
24.52,-118.81,27.14231,-114.29581999999999,Bahia Asuncion,Baja California Sur,Mulege,MX,None
24.03,-123.91,27.14231,-114.29581999999999,Bahia Asuncion,Baja California Sur,Mulege,MX,None
45.73,-85.57,45.318059999999996,-85.2584,Charlevoix,Michigan,Charlevoix County,US,Michigan
48.36,-100.86,48.05612,-100.92931999999999,Velva,North Dakota,McHenry County,US,North Dakota
29.54,-105.66,28.609720000000003,-105.94028,Ninguno [CERESO],Chihuahua,Aquiles Serdan,MX,None
