area,city,country,gps_lat,gps_long,lat,long,state,state_flag
Shelby County,Timpson,US,31.78,-94.33,31.90378,-94.3952,Texas,Texas
Richland County,Olney,US,38.77,-88.01,38.73088,-88.08532,Illinois,Illinois
Seminole County,Geneva,US,28.85,-81.03,28.73972,-81.11506,Florida,Florida
Cameron County,South Padre Island,US,25.86,-96.76,26.10369,-97.16469,Texas,Texas
Harper County,Harper,US,37.23,-97.89,37.28669,-98.02589,Kansas,Kansas
Monroe County,Stock Island,US,24.22,-81.67,24.56709,-81.73841999999998,Florida,Florida
Santa Barbara County,Lompoc,US,33.35,-121.73,34.63915,-120.45794,California,California
Carbon County,Rawlins,US,41.33,-107.77,41.79107,-107.23866,Wyoming,Wyoming
Calhoun County,Lake City,US,42.2,-94.52,42.26748,-94.73387,Iowa,Iowa
Archer County,Archer City,US,33.48,-98.6,33.595659999999995,-98.62561,Texas,Texas
Mulege,Bahia Asuncion,MX,25.07,-122.27,27.14231,-114.29582,Baja California Sur,None
Huerfano County,Walsenburg,US,37.49,-105.01,37.62418,-104.78026,Colorado,Colorado
Mohave County,Lake Havasu City,US,34.41,-114.48,34.4839,-114.32245,Arizona,Arizona
San Luis Obispo County,Nipomo,US,35.17,-120.24,35.04275,-120.476,California,California
Cass County,Walker,US,46.82,-94.53,47.10135,-94.58722,Minnesota,Minnesota
Walsh County,Park River,US,48.19,-97.63,48.3986,-97.7412,North Dakota,North Dakota
Charleston County,Awendaw,US,32.71,-79.34,33.03767,-79.61313,South Carolina,South Carolina
Johnson County,Coal Hill,US,35.51,-93.72,35.43731,-93.67297,Arkansas,Arkansas
Mauricie,Plessisville,CA,45.93,-71.68,46.21856,-71.76201,Quebec,None
,Deep River,CA,46.65,-77.12,46.10012,-77.49949000000002,Ontario,None
Nye County,Beatty,US,36.51,-116.56,36.90856,-116.75923,Nevada,Nevada
Mulege,Bahia Asuncion,MX,25.04,-115.03,27.14231,-114.29582,Baja California Sur,None
Monteregie,Rougemont,CA,45.39,-73.09,45.43338,-73.04914000000002,Quebec,None
Monterey County,Carmel-by-the-Sea,US,35.3,-122.5,36.55524000000001,-121.92329,California,California
Nord-du-Quebec,Chapais,CA,49.56,-75.3,49.78344,-74.84919000000002,Quebec,None
Hermosillo,Bahia de Kino,MX,28.63,-112.1,28.82278,-111.94083,Sonora,None
Dickinson County,Quinnesec,US,45.98,-87.98,45.80635,-87.98846,Michigan,Michigan
Toole County,Shelby,US,48.28,-111.51,48.50526,-111.85697,Montana,Montana
Crawford County,Girard,US,37.69,-94.88,37.51116,-94.83802,Kansas,Kansas
Osceola County,Saint Cloud,US,28.24,-81.15,28.2489,-81.28118,Florida,Florida
Jewell County,Mankato,US,39.72,-98.32,39.78723,-98.21005,Kansas,Kansas
Loreto,Loreto,MX,26.49,-111.44,26.01217,-111.34888,Baja California Sur,None
Laramie County,Pine Bluffs,US,41.01,-103.96,41.18193,-104.06912,Wyoming,Wyoming
,Marsh Harbour,BS,28.89,-73.36,26.54124,-77.0636,Central Abaco,None
Barnstable County,Chatham,US,41.67,-69.15,41.68206,-69.95974,Massachusetts,Massachusetts
Barnstable County,Truro,US,42.54,-68.88,41.99344,-70.04975,Massachusetts,Massachusetts
,Saint George,BM,35.82,-66.38,32.38167,-64.67806,Saint George,None
Sacramento County,Elverta,US,38.73,-121.52,38.71379,-121.46273,California,California
Mulege,Bahia Asuncion,MX,24.52,-118.81,27.14231,-114.29582,Baja California Sur,None
Mulege,Bahia Asuncion,MX,24.03,-123.91,27.14231,-114.29582,Baja California Sur,None
Charlevoix County,Charlevoix,US,45.73,-85.57,45.31806,-85.2584,Michigan,Michigan
McHenry County,Velva,US,48.36,-100.86,48.05612,-100.92932,North Dakota,North Dakota
Aquiles Serdan,Ninguno [CERESO],MX,29.54,-105.66,28.60972000000001,-105.94028,Chihuahua,None
Christian County,Sparta,US,37.03,-92.95,37.00116,-93.08157,Missouri,Missouri
,Hamilton,BM,30.5,-69.77,32.2949,-64.78303000000001,Hamilton city,None
Cote-Nord,Baie-Comeau,CA,49.87,-68.05,49.21679,-68.14894,Quebec,None
,Ciudad Insurgentes,MX,25.13,-112.25,25.26318,-111.77547,Baja California Sur,None
,Owen Sound,CA,44.92,-80.82,44.56717,-80.94349,Ontario,None
Holt County,O'Neill,US,42.38,-98.65,42.45778,-98.64759,Nebraska,Nebraska
,Topolobampo,MX,24.82,-109.31,25.60084,-109.0523,Sinaloa,None
Nye County,Pahrump,US,36.41,-116.02,36.20829000000001,-115.98391,Nevada,Nevada
Dare County,Buxton,US,30.52,-71.71,35.26768,-75.54236999999998,North Carolina,North Carolina
Humboldt County,Winnemucca,US,41.82,-118.35,40.97296,-117.73568,Nevada,Nevada
,Andros Town,BS,24.16,-78.75,24.7,-77.76666999999998,North Andros,None
Baylor County,Seymour,US,33.71,-99.16,33.59426,-99.26035,Texas,Texas
,Saint George,BM,35.9,-66.24,32.38167,-64.67806,Saint George,None
Lincoln County,Libby,US,48.05,-115.74,48.38829000000001,-115.556,Montana,Montana
,Kapuskasing,CA,49.37,-82.43,49.41694,-82.43308,Ontario,None
Keweenaw County,Eagle River,US,47.94,-88.27,47.41381,-88.29566,Michigan,Michigan
Nassau County,Fernandina Beach,US,30.82,-81.16,30.66968,-81.46259,Florida,Florida
Colfax County,Springer,US,36.03,-104.85,36.36114,-104.59527,New Mexico,New Mexico
Lea County,Jal,US,32.21,-103.49,32.11318,-103.19351,New Mexico,New Mexico
Izard County,Horseshoe Bend,US,36.3,-91.71,36.22923,-91.76431,Arkansas,Arkansas
,Andros Town,BS,24.08,-77.61,24.7,-77.76666999999998,North Andros,None
Mulege,Bahia Asuncion,MX,24.57,-116.16,27.14231,-114.29582,Baja California Sur,None
Ensenada,Luis Rodriguez (El Vergel),MX,28.36,-118.99,30.40722,-115.88722,Baja California,None
Cherokee County,Blacksburg,US,35.11,-81.41,35.12124,-81.51592,South Carolina,South Carolina
Bon Homme County,Tyndall,US,43.2,-97.9,42.99333,-97.86285,South Dakota,South Dakota
,Saltillo,MX,25.54,-101.13,25.42321,-101.0053,Coahuila,None
Hennepin County,Richfield,US,44.89,-93.26,44.8833,-93.283,Minnesota,Minnesota
,Canmore,CA,50.82,-114.94,51.08335,-115.35206,Alberta,None
Mulege,Bahia Asuncion,MX,26.25,-116.26,27.14231,-114.29582,Baja California Sur,None
Mohave County,Peach Springs,US,36.16,-113.05,35.52916,-113.42549,Arizona,Arizona
Alger County,Munising,US,47.39,-86.46,46.4112,-86.64926,Michigan,Michigan
Socorro County,Socorro,US,33.67,-106.52,34.0584,-106.89142,New Mexico,New Mexico
McMinn County,Athens,US,35.47,-84.58,35.44285,-84.59299,Tennessee,Tennessee
Fayette County,Somerville,US,35.16,-89.29,35.2437,-89.35007,Tennessee,Tennessee
Dare County,Nags Head,US,36.43,-72.56,35.95739000000001,-75.62406,North Carolina,North Carolina
Shoshone County,Wallace,US,47.63,-115.8,47.47409,-115.92794,Idaho,Idaho
Eddy County,Loving,US,32.08,-104.34,32.28623,-104.09577,New Mexico,New Mexico
Yakima County,Granger,US,45.99,-120.31,46.34207,-120.18727,Washington,Washington
,St. Thomas,CA,42.33,-81.5,42.77361,-81.18038,Ontario,None
Stonewall County,Aspermont,US,33.08,-100.17,33.13343,-100.22733,Texas,Texas
White Pine County,Ely,US,38.64,-115.07,39.24744000000001,-114.88863,Nevada,Nevada
