gps_lat,gps_long,lat,long,city,state,area,country,state_flag
-33.6,130.29,-32.1266,133.67271000000002,Ceduna,South Australia,Ceduna,AU,South Australia
-13.56,148.0,-15.470279999999999,145.24986,Cooktown,Queensland,Cook,AU,Queensland
-14.01,113.52,-8.8323,115.1247,Pecatu,Bali,,ID,None
-33.61,123.85,-33.86013,121.88259,Esperance,Western Australia,Esperance Shire,AU,Western Australia
-37.02,142.41,-37.05632,142.78088,Stawell,Victoria,Northern Grampians,AU,Victoria
-10.98,150.98,-10.61667,150.66666999999998,Samarai,Milne Bay,,PG,None
-17.7,129.12,-18.22485,127.66646999999999,Halls Creek,Western Australia,Halls Creek,AU,Western Australia
-31.73,146.31,-31.49873,145.84183000000002,Cobar,New South Wales,Cobar,AU,New South Wales
-10.81,115.64,-8.801,115.5691,Sekartaji,Bali,,ID,None
-37.33,148.44,-37.88115,147.98103,Lakes Entrance,Victoria,East Gippsland,AU,Victoria
-23.35,122.73,-23.35644,119.73553000000001,Newman,Western Australia,East Pilbara,AU,Western Australia
-13.97,118.14,-10.1716,120.1174,Lailunggi,East Nusa Tenggara,,ID,None
-34.0,143.05,-34.18056,142.2265,Gol Gol,New South Wales,Wentworth,AU,New South Wales
-14.31,119.82,-10.6167,121.5531,Lupe,East Nusa Tenggara,,ID,None
-11.94,119.63,-10.1716,120.1174,Lailunggi,East Nusa Tenggara,,ID,None
-9.49,151.14,-10.31509,150.45741999999998,Alotau,Milne Bay,,PG,None
-17.71,131.75,-19.6497,134.19146999999998,Tennant Creek,Northern Territory,Barkly,AU,Northern Territory
-40.57,121.07,-35.0031,117.86595,Albany,Western Australia,Albany,AU,Western Australia
-15.58,142.38,-15.470279999999999,145.24986,Cooktown,Queensland,Cook,AU,Queensland
-39.93,131.62,-34.72625,135.87442,Port Lincoln,South Australia,Port Lincoln,AU,South Australia
-15.37,124.56,-17.30295,123.62863999999999,Derby,Western Australia,Derby-West Kimberley,AU,Western Australia
-28.4,118.0,-28.183329999999998,116.73333000000001,Melville,Western Australia,Yalgoo,AU,Western Australia
-16.39,134.29,-14.46517,132.26346999999998,Katherine,Northern Territory,Katherine,AU,Northern Territory
